station,connecting_line,connecting_lineLabel,coordinate_location,station_code,stationLabel
http://www.wikidata.org/entity/Q8076578,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.68251 -23.61881),CPB,Estação Campo Belo
http://www.wikidata.org/entity/Q8076578,http://www.wikidata.org/entity/Q5430578,Linha 17 do Metrô de São Paulo,Point(-46.68251 -23.61881),CPB,Estação Campo Belo
http://www.wikidata.org/entity/Q8076578,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.68251 -23.61881),S/D,Estação Campo Belo
http://www.wikidata.org/entity/Q8076578,http://www.wikidata.org/entity/Q5430578,Linha 17 do Metrô de São Paulo,Point(-46.68251 -23.61881),S/D,Estação Campo Belo
http://www.wikidata.org/entity/Q5028448,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.759148 -23.649374),CPL,Estação Campo Limpo
http://www.wikidata.org/entity/Q5037175,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.768177 -23.659251),CPR,Estação Capão Redondo
http://www.wikidata.org/entity/Q5037696,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.624904 -23.509662),CDU,Estação Carandiru
http://www.wikidata.org/entity/Q5046842,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.563513 -23.537599),CAR,Estação Carrão
http://www.wikidata.org/entity/Q5118642,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.63061 -23.59262),CKB,Estação Chácara Klabin
http://www.wikidata.org/entity/Q5118642,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.63061 -23.59262),CKB,Estação Chácara Klabin
http://www.wikidata.org/entity/Q5137302,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.670603 -23.55431),CLI,Estação Clínicas
http://www.wikidata.org/entity/Q5158299,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.641142 -23.636209),CON,Estação Conceição
http://www.wikidata.org/entity/Q2994646,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.66091 -23.557516),CNS,Estação Consolação
http://www.wikidata.org/entity/Q8779010,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.66861 -23.60979),ECT,Estação Eucaliptos
http://www.wikidata.org/entity/Q8779010,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.66861 -23.60979),S/D,Estação Eucaliptos
http://www.wikidata.org/entity/Q5435213,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.693826 -23.56677),FAL,Estação Faria Lima
http://www.wikidata.org/entity/Q18475332,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.48749 -23.61182),FJT,Estação Fazenda da Juta
http://www.wikidata.org/entity/Q5477606,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.684167 -23.566111),FRA,Estação Fradique Coutinho
http://www.wikidata.org/entity/Q5563882,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.734247 -23.643964),GGR,Estação Giovanni Gronchi
http://www.wikidata.org/entity/Q5615996,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.516553 -23.529292),VPA,Estação Guilhermina-Esperança
http://www.wikidata.org/entity/Q8779002,http://www.wikidata.org/entity/Q3293620,Linha 6 do Metrô de São Paulo,Point(-46.652305555 -23.549138888),HIG,Estação Higienópolis-Mackenzie
